film,year_film,year_ceremony,category,imdb_score_x,num_voted_users_x,budget_x,language_x,country_x,gross_x,genres_x,num_user_for_reviews_x,duration_x,director_name
Letters from Iwo Jima,2006,2007,SOUND EDITING,7.9,132149,19000000.0,Japanese,USA,13753931,Drama|History|War,316,141,Clint Eastwood
The Duchess,2008,2009,COSTUME DESIGN,6.9,61777,13500000.0,English,UK,13823741,Biography|Drama|History|Romance,140,110,Saul Dibb
Atonement,2007,2008,MUSIC (Original Score),7.8,192930,30000000.0,English,UK,50921738,Drama|Mystery|Romance|War,581,123,Joe Wright
The Reader,2008,2009,ACTRESS IN A LEADING ROLE,7.6,189812,32000000.0,English,USA,34180954,Drama|Romance,370,124,Stephen Daldry
The Counterfeiters,2007,2008,FOREIGN LANGUAGE FILM,7.5,46936,4200000.0,German,Austria,18814713,Crime|Drama|History|War,127,99,Giuseppe Tornatore
Chocolat,2000,2001,ACTRESS IN A LEADING ROLE,7.3,150308,25000000.0,English,UK,71309760,Drama|Romance,498,121,Lasse Hallström
Chocolat,2000,2001,ACTRESS IN A SUPPORTING ROLE,7.3,150308,25000000.0,English,UK,71309760,Drama|Romance,498,121,Lasse Hallström
Chocolat,2000,2001,BEST PICTURE,7.3,150308,25000000.0,English,UK,71309760,Drama|Romance,498,121,Lasse Hallström
Chocolat,2000,2001,MUSIC (Original Score),7.3,150308,25000000.0,English,UK,71309760,Drama|Romance,498,121,Lasse Hallström
Chocolat,2000,2001,WRITING (Screenplay Based on Material Previously Produced or Published),7.3,150308,25000000.0,English,UK,71309760,Drama|Romance,498,121,Lasse Hallström
Nowhere in Africa,2002,2003,FOREIGN LANGUAGE FILM,7.7,10672,7000000.0,English,Germany,6173485,Biography|Drama,84,141,Caroline Link
Erin Brockovich,2000,2001,ACTOR IN A SUPPORTING ROLE,7.3,135246,52000000.0,English,USA,125548685,Biography|Drama,498,131,Steven Soderbergh
Erin Brockovich,2000,2001,ACTRESS IN A LEADING ROLE,7.3,135246,52000000.0,English,USA,125548685,Biography|Drama,498,131,Steven Soderbergh
Erin Brockovich,2000,2001,BEST PICTURE,7.3,135246,52000000.0,English,USA,125548685,Biography|Drama,498,131,Steven Soderbergh
Erin Brockovich,2000,2001,DIRECTING,7.3,135246,52000000.0,English,USA,125548685,Biography|Drama,498,131,Steven Soderbergh
Erin Brockovich,2000,2001,WRITING (Screenplay Written Directly for the Screen),7.3,135246,52000000.0,English,USA,125548685,Biography|Drama,498,131,Steven Soderbergh
Iris,2001,2002,ACTOR IN A SUPPORTING ROLE,7.1,14786,5500000.0,English,UK,1292119,Biography|Drama|Romance,144,91,Richard Eyre
Cold Mountain,2003,2004,ACTRESS IN A SUPPORTING ROLE,7.2,118483,79000000.0,English,USA,95632614,Adventure|Drama|History|Romance|War,674,154,Anthony Minghella
Black Hawk Down,2001,2002,FILM EDITING,7.7,292022,92000000.0,English,USA,108638745,Drama|History|War,1103,152,Ridley Scott
Black Hawk Down,2001,2002,SOUND,7.7,292022,92000000.0,English,USA,108638745,Drama|History|War,1103,152,Ridley Scott
Pirates of the Caribbean: Dead Man's Chest,2006,2007,VISUAL EFFECTS,7.3,522040,225000000.0,English,USA,423032628,Action|Adventure|Fantasy,1832,151,Gore Verbinski
Finding Neverland,2004,2005,MUSIC (Original Score),7.8,174591,25000000.0,English,USA,51676606,Biography|Drama|Family,632,101,Marc Forster
Shadow of the Vampire,2000,2001,ACTOR IN A SUPPORTING ROLE,6.9,34191,8000000.0,English,UK,8279017,Drama|Horror,339,92,E. Elias Merhige
Shadow of the Vampire,2000,2001,MAKEUP,6.9,34191,8000000.0,English,UK,8279017,Drama|Horror,339,92,E. Elias Merhige
No Country for Old Men,2007,2008,ACTOR IN A SUPPORTING ROLE,8.1,612060,25000000.0,English,USA,74273505,Crime|Drama|Thriller,1518,122,Ethan Coen
No Country for Old Men,2007,2008,BEST PICTURE,8.1,612060,25000000.0,English,USA,74273505,Crime|Drama|Thriller,1518,122,Ethan Coen
No Country for Old Men,2007,2008,DIRECTING,8.1,612060,25000000.0,English,USA,74273505,Crime|Drama|Thriller,1518,122,Ethan Coen
No Country for Old Men,2007,2008,WRITING (Adapted Screenplay),8.1,612060,25000000.0,English,USA,74273505,Crime|Drama|Thriller,1518,122,Ethan Coen
Walk the Line,2005,2006,ACTRESS IN A LEADING ROLE,7.9,188637,28000000.0,English,USA,119518352,Biography|Drama|Music|Romance,815,153,James Mangold
The Contender,2000,2001,ACTOR IN A SUPPORTING ROLE,7.0,20449,20000000.0,English,USA,17804273,Drama|Thriller,370,126,Rod Lurie
The Contender,2000,2001,ACTRESS IN A LEADING ROLE,7.0,20449,20000000.0,English,USA,17804273,Drama|Thriller,370,126,Rod Lurie
The Hurt Locker,2009,2010,BEST PICTURE,7.6,332065,15000000.0,English,USA,15700000,Drama|History|Thriller|War,876,131,Kathryn Bigelow
The Hurt Locker,2009,2010,DIRECTING,7.6,332065,15000000.0,English,USA,15700000,Drama|History|Thriller|War,876,131,Kathryn Bigelow
The Hurt Locker,2009,2010,FILM EDITING,7.6,332065,15000000.0,English,USA,15700000,Drama|History|Thriller|War,876,131,Kathryn Bigelow
The Hurt Locker,2009,2010,SOUND EDITING,7.6,332065,15000000.0,English,USA,15700000,Drama|History|Thriller|War,876,131,Kathryn Bigelow
The Hurt Locker,2009,2010,SOUND MIXING,7.6,332065,15000000.0,English,USA,15700000,Drama|History|Thriller|War,876,131,Kathryn Bigelow
The Hurt Locker,2009,2010,WRITING (Original Screenplay),7.6,332065,15000000.0,English,USA,15700000,Drama|History|Thriller|War,876,131,Kathryn Bigelow
The Cell,2000,2001,MAKEUP,6.3,79877,33000000.0,English,USA,61280963,Horror|Sci-Fi|Thriller,677,109,Tarsem Singh
Crazy Heart,2009,2010,ACTOR IN A LEADING ROLE,7.3,67760,7000000.0,English,USA,39462438,Drama|Music|Romance,226,112,Scott Cooper
Crazy Heart,2009,2010,MUSIC (Original Song),7.3,67760,7000000.0,English,USA,39462438,Drama|Music|Romance,226,112,Scott Cooper
King Kong,2005,2006,SOUND EDITING,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND EDITING,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND EDITING,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
King Kong,2005,2006,SOUND MIXING,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
